governate,area,lat,lng,services
Al-Menia,Bani Mazar,28.50840318,30.79868478,3.0
Al-Menia,Bani Mazar,28.49916009,30.80536275,1.0
Al-Menia,Deir Mawas,27.64300069,30.85498041,3.0
Al-Menia,Deir Mawas,27.64422897,30.85639037,3.0
Al-Menia,Eledwa,28.69848754,30.77306191,1.0
Al-Menia,Eledwa,28.69295375,30.77668019,1.0
Al-Menia,Eledwa,28.70119325,30.7724832,1.0
Al-Menia,Eledwa,28.69529737,30.77263248,1.0
Al-Menia,Eledwa,28.6954099,30.77332348,1.0
Al-Menia,Eledwa,28.65456863,30.68819088,3.0
Al-Menia,Eledwa,28.70218368,30.77195333,3.0
Al-Menia,Eledwa,28.694477,30.766051,3.0
Al-Menia,Eledwa,28.69295375,30.77668019,3.0
Al-Menia,Eledwa,28.70119325,30.7724832,3.0
Al-Menia,ElMenia,28.11789004,30.74257455,1.0
Al-Menia,ElMenia,28.08965662,30.76313344,1.0
Al-Menia,ElMenia,28.09186301,30.76335211,1.0
Al-Menia,ElMenia,28.09503576,30.75741676,1.0
Al-Menia,ElMenia,28.09769322,30.75527144,3.0
Al-Menia,ElMenia,28.09632289,30.75950544,1.0
Al-Menia,ElMenia,28.10039885,30.75354754,3.0
Al-Menia,ElMenia,28.10914764,30.7516616,1.0
Al-Menia,ElMenia,28.11357702,30.74921605,1.0
Al-Menia,ElMenia,28.09659135,30.75405628,1.0
Al-Menia,ElMenia,28.12142828,30.74163879,1.0
Al-Menia,ElMenia,28.09810544,30.75940849,1.0
Al-Menia,ElMenia,28.09596611,30.76199947,1.0
Al-Menia,ElMenia,28.09168308,30.7644408,1.0
Al-Menia,ElMenia,28.10225681,30.75295038,1.0
Al-Menia,ElMenia,28.09286984,30.76496099,1.0
Al-Menia,ElMenia,28.09370559,30.74946632,1.0
Al-Menia,ElMenia,28.07024581,30.7823452,1.0
Al-Menia,ElMenia,28.0876933,30.74981039,1.0
Al-Menia,ElMenia,28.82314979,30.90352375,1.0
Al-Menia,ElMenia,28.0987095,30.75621145,2.0
Al-Menia,ElMenia,28.48919331,30.84904755,2.0
Al-Menia,ElMenia,27.642655,30.69791786,2.0
Al-Menia,ElMenia,28.10486134,30.7515505,2.0
Al-Menia,ElMenia,28.11685008,30.76905102,2.0
Al-Menia,ElMenia,28.020528,30.856247,2.0
Al-Menia,ElMenia,28.09659135,30.75405628,2.0
Al-Menia,ElMenia,28.10225681,30.75295038,2.0
Al-Menia,ElMenia,28.09632289,30.75950544,2.0
Al-Menia,ElMenia,28.11789004,30.74257455,2.0
Al-Menia,ElMenia,28.09810544,30.75940849,2.0
Al-Menia,ElMenia,28.09186301,30.76335211,2.0
Al-Menia,ElMenia,28.09596611,30.76199947,2.0
Al-Menia,ElMenia,28.09168308,30.7644408,2.0
Al-Menia,ElMenia,28.12142828,30.74163879,2.0
Al-Menia,ElMenia,28.10914764,30.7516616,2.0
Al-Menia,ElMenia,28.11451,30.749812,3.0
Al-Menia,ElMenia,28.125224,30.730689,3.0
Al-Menia,Maghagha,28.61007677,30.68661399,1.0
Al-Menia,Maghagha,28.647183,30.845959,1.0
Al-Menia,Maghagha,28.64827844,30.84513134,1.0
Al-Menia,Maghagha,28.64779607,30.84427245,1.0
Al-Menia,Maghagha,28.65523012,30.83132821,1.0
Al-Menia,Maghagha,28.64973595,30.83933781,1.0
Al-Menia,Maghagha,28.65020127,30.84215794,3.0
Al-Menia,Malawi,27.73721029,30.84510069,1.0
Al-Menia,Malawi,27.73428402,30.84507229,3.0
Al-Menia,Malawi,27.73523653,30.84328835,1.0
Al-Menia,Malawi,27.73848158,30.8425392,1.0
Al-Menia,Malawi,27.7309091,30.84015315,1.0
Al-Menia,Malawi,27.73652576,30.84757427,1.0
Al-Menia,Malawi,27.73837057,30.84180088,3.0
Al-Menia,Malawi,27.838853,30.736476,3.0
Al-Menia,Matai,28.42174871,30.79030213,1.0
Al-Menia,Matai,28.42108579,30.79008335,1.0
Al-Menia,Matai,28.42106733,30.7901148,1.0
Al-Menia,Matai,28.41989818,30.78846619,3.0
Al-Menia,Matai,28.42056544,30.78749442,1.0
Al-Menia,Samalut,28.388006,30.6716994,1.0
Al-Menia,Samalut,28.31544948,30.7112433,1.0
Al-Menia,Samalut,28.29778967,30.7171691,1.0
Al-Menia,Samalut,28.32486602,30.70802829,3.0
Al-Menia,Samalut,28.313739,30.71296808,3.0
Al-Menia,Samalut,28.31058377,30.73588709,3.0
Al-Monoufia,Al Sadat,30.3118976,30.56125688,1.0
Al-Monoufia,Al Sadat,30.37081594,30.50226564,1.0
Al-Monoufia,Al Sadat,30.36567583,30.54049558,1.0
Al-Monoufia,Al Sadat,30.36645445,30.55657861,1.0
Al-Monoufia,Al Sadat,30.36672346,30.55062939,1.0
Al-Monoufia,Al Sadat,30.3728385,30.49884544,3.0
Al-Monoufia,Al Sadat,30.36866623,30.50251143,3.0
Al-Monoufia,Al Sadat,30.36319221,30.51076218,1.0
Al-Monoufia,Al Sadat,30.36365333,30.51077523,3.0
Al-Monoufia,Al Sadat,30.37144469,30.50084472,3.0
Al-Monoufia,Al Sadat,30.36567583,30.54049558,3.0
Al-Monoufia,Al Sadat,30.36645445,30.55657861,3.0
Al-Monoufia,Al Sadat,30.37081594,30.50226564,3.0
